| Type      | Value               | Line  | Column  | File
| SEMICOLON | ;                   | 27    | 29      | 
| EOL       |                     | 27    | 30      | 
| BUS       | bus                 | 28    | 4       | 
| IDENT     | transmit            | 28    | 16      | 
| LPAREN    | (                   | 28    | 16      | 
| IDENT     | data                | 28    | 21      | 
| COLON     | :                   | 28    | 21      | 
| IDENT     | string              | 28    | 29      | 
| RPAREN    | )                   | 28    | 29      | 
| SEMICOLON | ;                   | 28    | 30      | 
| EOL       |                     | 28    | 31      | 
| RBRACE    | }                   | 29    | 2       | 
| EOL       |                     | 29    | 3       | 
| EOL       |                     | 30    | 2       | 
| COMMENT   |  === Shard compon...| 31    | 50      | 
| EOL       |                     | 31    | 51      | 
| SHARD     | shard               | 32    | 1       | 
| IDENT     | Display             | 32    | 14      | 
| LBRACE    | {                   | 32    | 15      | 
| EOL       |                     | 32    | 16      | 
| PUB       | pub                 | 33    | 4       | 
| IDENT     | text                | 33    | 12      | 
| COLON     | :                   | 33    | 12      | 
| IDENT     | string              | 33    | 20      | 
| SEMICOLON | ;                   | 33    | 20      | 
| EOL       |                     | 33    | 21      | 
| MUT       | mut                 | 34    | 4       | 
| IDENT     | brightness          | 34    | 18      | 
| COLON     | :                   | 34    | 18      | 
| IDENT     | int                 | 34    | 23      | 
| ASSIGN    | =                   | 34    | 24      | 
| INTEGER   | 5                   | 34    | 27      | 
| SEMICOLON | ;                   | 34    | 27      | 
| EOL       |                     | 34    | 28      | 
| INTERNAL  | internal            | 35    | 4       | 
| IDENT     | ready               | 35    | 18      | 
| COLON     | :                   | 35    | 18      | 
| IDENT     | bool                | 35    | 24      | 
| ASSIGN    | =                   | 35    | 25      | 
| BOOL      | false               | 35    | 27      | 
| SEMICOLON | ;                   | 35    | 32      | 
| EOL       |                     | 35    | 33      | 
| EOL       |                     | 36    | 2       | 
| META      | meta                | 37    | 4       | 
| IDENT     | init                | 37    | 13      | 
| LPAREN    | (                   | 37    | 13      | 
| RPAREN    | )                   | 37    | 14      | 
| SEMICOLON | ;                   | 37    | 15      | 
| EOL       |                     | 37    | 16      | 
| BUS       | bus                 | 38    | 4       | 
| IDENT     | broadcast           | 38    | 17      | 
| LPAREN    | (                   | 38    | 17      | 
| IDENT     | signal              | 38    | 24      | 
| COLON     | :                   | 38    | 24      | 
| IDENT     | string              | 38    | 32      | 
| RPAREN    | )                   | 38    | 32      | 
| SEMICOLON | ;                   | 38    | 33      | 
| EOL       |                     | 38    | 34      | 
| ON        | on                  | 39    | 4       | 
| IDENT     | update              | 39    | 13      | 
| LPAREN    | (                   | 39    | 13      | 
| RPAREN    | )                   | 39    | 14      | 
| SEMICOLON | ;                   | 39    | 15      | 
| EOL       |                     | 39    | 16      | 
| IMPURE    | impure              | 40    | 4       | 
| IDENT     | toggle              | 40    | 17      | 
| LPAREN    | (                   | 40    | 17      | 
| IDENT     | state               | 40    | 23      | 
| COLON     | :                   | 40    | 23      | 
| IDENT     | bool                | 40    | 29      | 
| RPAREN    | )                   | 40    | 29      | 
| SEMICOLON | ;                   | 40    | 30      | 
| EOL       |                     | 40    | 31      | 
| RBRACE    | }                   | 41    | 2       | 
| EOL       |                     | 41    | 3       | 
| EOL       |                     | 42    | 2       | 
| COMMENT   |  === Another shar...| 43    | 64      | 
| EOL       |                     | 43    | 65      | 
| SHARD     | shard               | 44    | 1       | 
| IDENT     | Modifiers           | 44    | 16      | 
| LBRACE    | {                   | 44    | 17      | 
| EOL       |                     | 44    | 18      | 
| PUB       | pub                 | 45    | 4       | 
| IDENT     | count               | 45    | 13      | 
| COLON     | :                   | 45    | 13      | 
| IDENT     | int                 | 45    | 18      | 
| SEMICOLON | ;                   | 45    | 18      | 
| EOL       |                     | 45    | 19      | 
| PRIV      | priv                | 46    | 4       | 
| IDENT     | flag                | 46    | 13      | 
| COLON     | :                   | 46    | 13      | 
| IDENT     | bool                | 46    | 19      | 
| SEMICOLON | ;                   | 46    | 19      | 
| EOL       |                     | 46    | 20      | 
| INTERNAL  | internal            | 47    | 4       | 
| IDENT     | state               | 47    | 18      | 
| COLON     | :                   | 47    | 18      | 
| IDENT     | string              | 47    | 26      | 
| SEMICOLON | ;                   | 47    | 26      | 
| EOL       |                     | 47    | 27      | 
| OPEN      | open                | 48    | 4       | 
| IDENT     | message             | 48    | 16      | 
| COLON     | :                   | 48    | 16      | 
| IDENT     | string              | 48    | 24      | 
| ASSIGN    | =                   | 48    | 25      | 
| STRING    | Open                | 48    | 32      | 
| SEMICOLON | ;                   | 48    | 33      | 
| EOL       |                     | 48    | 34      | 
| CONST     | const               | 49    | 4       | 
| IDENT     | LIMIT               | 49    | 15      | 
| COLON     | :                   | 49    | 15      | 
| IDENT     | int                 | 49    | 20      | 
| ASSIGN    | =                   | 49    | 21      | 
| INTEGER   | 100                 | 49    | 26      | 
| SEMICOLON | ;                   | 49    | 26      | 
| EOL       |                     | 49    | 27      | 
| MUT       | mut                 | 50    | 4       | 
| IDENT     | step                | 50    | 12      | 
| COLON     | :                   | 50    | 12      | 
| IDENT     | int                 | 50    | 17      | 
| ASSIGN    | =                   | 50    | 18      | 
| INTEGER   | 1                   | 50    | 21      | 
| SEMICOLON | ;                   | 50    | 21      | 
| EOL       |                     | 50    | 22      | 
| EOL       |                     | 51    | 2       | 
| META      | meta                | 52    | 4       | 
| IDENT     | init                | 52    | 13      | 
| LPAREN    | (                   | 52    | 13      | 
| RPAREN    | )                   | 52    | 14      | 
| SEMICOLON | ;                   | 52    | 15      | 
| EOL       |                     | 52    | 16      | 
| ON        | on                  | 53    | 4       | 
| IDENT     | trigger             | 53    | 14      | 
| LPAREN    | (                   | 53    | 14      | 
| RPAREN    | )                   | 53    | 15      | 
| SEMICOLON | ;                   | 53    | 16      | 
| EOL       |                     | 53    | 17      | 
