| Type      | Value               | Line  | Column  | File
| COLON     | :                   | 128   | 23      | 
| IDENT     | bool                | 128   | 29      | 
| RPAREN    | )                   | 128   | 29      | 
| LBRACE    | {                   | 128   | 31      | 
| EOL       |                     | 128   | 32      | 
| IDENT     | ready               | 129   | 11      | 
| ASSIGN    | =                   | 129   | 12      | 
| NOT       | !                   | 129   | 14      | 
| IDENT     | state               | 129   | 20      | 
| SEMICOLON | ;                   | 129   | 20      | 
| EOL       |                     | 129   | 21      | 
| RBRACE    | }                   | 130   | 4       | 
| EOL       |                     | 130   | 5       | 
| RBRACE    | }                   | 131   | 2       | 
| EOL       |                     | 131   | 3       | 
| EOL       |                     | 132   | 2       | 
| COMMENT   |  === Implementati...| 133   | 53      | 
| EOL       |                     | 133   | 54      | 
| IMPL      | impl                | 134   | 1       | 
| IDENT     | Modifiers           | 134   | 15      | 
| LBRACE    | {                   | 134   | 16      | 
| EOL       |                     | 134   | 17      | 
| META      | meta                | 135   | 4       | 
| IDENT     | init                | 135   | 13      | 
| LPAREN    | (                   | 135   | 13      | 
| RPAREN    | )                   | 135   | 14      | 
| LBRACE    | {                   | 135   | 16      | 
| EOL       |                     | 135   | 17      | 
| IDENT     | count               | 136   | 11      | 
| ASSIGN    | =                   | 136   | 12      | 
| INTEGER   | 0                   | 136   | 15      | 
| SEMICOLON | ;                   | 136   | 15      | 
| EOL       |                     | 136   | 16      | 
| IDENT     | step                | 137   | 10      | 
| ASSIGN    | =                   | 137   | 11      | 
| INTEGER   | 10                  | 137   | 15      | 
| SEMICOLON | ;                   | 137   | 15      | 
| EOL       |                     | 137   | 16      | 
| RBRACE    | }                   | 138   | 4       | 
| EOL       |                     | 138   | 5       | 
| EOL       |                     | 139   | 2       | 
| ON        | on                  | 140   | 4       | 
| IDENT     | trigger             | 140   | 14      | 
| LPAREN    | (                   | 140   | 14      | 
| RPAREN    | )                   | 140   | 15      | 
| LBRACE    | {                   | 140   | 17      | 
| EOL       |                     | 140   | 18      | 
| IDENT     | count               | 141   | 11      | 
| PLUS_ASSIGN| +=                  | 141   | 12      | 
| IDENT     | step                | 141   | 19      | 
| SEMICOLON | ;                   | 141   | 19      | 
| EOL       |                     | 141   | 20      | 
| RBRACE    | }                   | 142   | 4       | 
| EOL       |                     | 142   | 5       | 
| EOL       |                     | 143   | 2       | 
| BUS       | bus                 | 144   | 4       | 
| IDENT     | pulse               | 144   | 13      | 
| LPAREN    | (                   | 144   | 13      | 
| RPAREN    | )                   | 144   | 14      | 
| LBRACE    | {                   | 144   | 16      | 
| EOL       |                     | 144   | 17      | 
| IDENT     | print               | 145   | 11      | 
| LPAREN    | (                   | 145   | 11      | 
| STRING    | Pulse sent          | 145   | 23      | 
| RPAREN    | )                   | 145   | 24      | 
| SEMICOLON | ;                   | 145   | 25      | 
| EOL       |                     | 145   | 26      | 
| RBRACE    | }                   | 146   | 4       | 
| EOL       |                     | 146   | 5       | 
| RBRACE    | }                   | 147   | 2       | 
| EOL       |                     | 147   | 3       | 
| EOL       |                     | 148   | 2       | 
| COMMENT   |  === Implementati...| 149   | 68      | 
| EOL       |                     | 149   | 69      | 
| IMPL      | impl                | 150   | 1       | 
| IDENT     | Display             | 150   | 13      | 
| FOR       | for                 | 150   | 14      | 
| IDENT     | Engine              | 150   | 24      | 
| LBRACE    | {                   | 150   | 25      | 
| EOL       |                     | 150   | 26      | 
| META      | meta                | 151   | 4       | 
| IDENT     | connect             | 151   | 16      | 
| LPAREN    | (                   | 151   | 16      | 
| RPAREN    | )                   | 151   | 17      | 
| LBRACE    | {                   | 151   | 19      | 
| EOL       |                     | 151   | 20      | 
| IDENT     | ready               | 152   | 11      | 
| ASSIGN    | =                   | 152   | 12      | 
| BOOL      | true                | 152   | 14      | 
| SEMICOLON | ;                   | 152   | 18      | 
| EOL       |                     | 152   | 19      | 
| IDENT     | print               | 153   | 11      | 
| LPAREN    | (                   | 153   | 11      | 
| STRING    | Connected display   | 153   | 30      | 
| RPAREN    | )                   | 153   | 31      | 
| SEMICOLON | ;                   | 153   | 32      | 
| EOL       |                     | 153   | 33      | 
| RBRACE    | }                   | 154   | 4       | 
| EOL       |                     | 154   | 5       | 
| EOL       |                     | 155   | 2       | 
| IMPURE    | impure              | 156   | 4       | 
| IDENT     | showData            | 156   | 19      | 
| LPAREN    | (                   | 156   | 19      | 
| IDENT     | value               | 156   | 25      | 
| COLON     | :                   | 156   | 25      | 
| IDENT     | int                 | 156   | 30      | 
| RPAREN    | )                   | 156   | 30      | 
| LBRACE    | {                   | 156   | 32      | 
| EOL       |                     | 156   | 33      | 
| IDENT     | print               | 157   | 11      | 
| LPAREN    | (                   | 157   | 11      | 
| STRING    | Value:              | 157   | 20      | 
| PLUS      | +                   | 157   | 22      | 
| IDENT     | value               | 157   | 29      | 
| RPAREN    | )                   | 157   | 29      | 
| SEMICOLON | ;                   | 157   | 30      | 
| EOL       |                     | 157   | 31      | 
| RBRACE    | }                   | 158   | 4       | 
| EOL       |                     | 158   | 5       | 
| RBRACE    | }                   | 159   | 2       | 
| EOL       |                     | 159   | 3       | 
| EOL       |                     | 160   | 2       | 
| COMMENT   |  === Function wit...| 161   | 48      | 
| EOL       |                     | 161   | 49      | 
| PURE      | pure                | 162   | 1       | 
| IDENT     | process             | 162   | 13      | 
| LPAREN    | (                   | 162   | 13      | 
| IDENT     | data                | 162   | 18      | 
| COLON     | :                   | 162   | 18      | 
| IDENT     | string              | 162   | 26      | 
| COMMA     | ,                   | 162   | 26      | 
| IDENT     | active              | 162   | 34      | 
| COLON     | :                   | 162   | 34      | 
| IDENT     | bool                | 162   | 40      | 
| ASSIGN    | =                   | 162   | 41      | 
| BOOL      | true                | 162   | 43      | 
| RPAREN    | )                   | 162   | 47      | 
| ARROW     | ->                  | 162   | 49      | 
| IDENT     | int                 | 162   | 55      | 
| LBRACE    | {                   | 162   | 56      | 
| EOL       |                     | 162   | 57      | 
| IDENT     | score               | 163   | 9       | 
| COLON     | :                   | 163   | 9       | 
| IDENT     | int                 | 163   | 14      | 
| ASSIGN    | =                   | 163   | 15      | 
| IDENT     | active              | 163   | 23      | 
| QUESTION_MARK| ?                   | 163   | 24      | 
| INTEGER   | 100                 | 163   | 29      | 
| COLON     | :                   | 163   | 30      | 
| INTEGER   | 0                   | 163   | 33      | 
| SEMICOLON | ;                   | 163   | 33      | 
| EOL       |                     | 163   | 34      | 
| IDENT     | score               | 164   | 9       | 
| PLUS_ASSIGN| +=                  | 164   | 10      | 
| IDENT     | data                | 164   | 17      | 
| EQ        | ==                  | 164   | 18      | 
| STRING    | pass                | 164   | 26      | 
| QUESTION_MARK| ?                   | 164   | 28      | 
| INTEGER   | 50                  | 164   | 32      | 
| COLON     | :                   | 164   | 33      | 
| MINUS     | -                   | 164   | 35      | 
| INTEGER   | 50                  | 164   | 38      | 
| SEMICOLON | ;                   | 164   | 38      | 
| EOL       |                     | 164   | 39      | 
| RETURN    | return              | 165   | 4       | 
| IDENT     | score               | 165   | 16      | 
| SEMICOLON | ;                   | 165   | 16      | 
| EOL       |                     | 165   | 17      | 
| RBRACE    | }                   | 166   | 2       | 
| EOL       |                     | 166   | 3       | 
| EOL       |                     | 167   | 2       | 
| COMMENT   |  === Component in...| 168   | 36      | 
| EOL       |                     | 168   | 37      | 
| COMMENT   |  Engine("Main") a...| 169   | 33      | 
| EOL       |                     | 169   | 34      | 
| COMMENT   |  Display(text = "...| 170   | 58      | 
| EOL       |                     | 170   | 59      | 
| COMMENT   |  Modifiers() as m...| 171   | 28      | 
| EOL       |                     | 171   | 29      | 
| EOF       |                     | 172   | 1       | 
